District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
MN-08,Pete Stauber,(R),"166,936","225,291","400,013",41.70%,56.30%
MO-01,Cori Bush,(D),"257,909","58,280","321,328",80.30%,18.10%
MO-02,Ann Wagner,(R),"222,349","222,464","452,325",49.20%,49.20%
MO-03,Blaine Luetkemeyer,(R),"130,857","279,373","417,914",31.30%,66.80%
MO-04,Vicky Hartzler,(R),"117,975","243,844","369,447",31.90%,66.00%
MO-05,Emanuel Cleaver,(D),"208,696","141,661","357,416",58.40%,39.60%
MO-06,Sam Graves,(R),"137,268","248,374","392,499",35.00%,63.30%
MO-07,Billy Long,(R),"105,855","263,623","376,465",28.10%,70.00%
MO-08,Jason Smith,(R),"72,104","261,118","337,764",21.30%,77.30%
MS-01,Trent Kelly,(R),"115,883","222,359","343,231",33.80%,64.80%
MS-02,Bennie Thompson,(D),"191,329","105,700","300,527",63.70%,35.20%
MS-03,Michael Guest,(R),"135,455","210,649","350,527",38.60%,60.10%
MS-04,Steven Palazzo,(R),"96,731","218,056","319,474",30.30%,68.30%
MT-AL,Matt Rosendale,(R),"244,786","343,602","603,640",40.60%,56.90%
NC-01,G.K. Butterfield,(D),"190,053","159,622","352,657",53.90%,45.30%
NC-02,Deborah Ross,(D),"323,249","171,017","502,490",64.30%,34.00%
NC-03,Greg Murphy,(R),"140,561","226,991","372,685",37.70%,60.90%
NC-04,David Price,(D),"332,604","160,810","499,753",66.60%,32.20%
NC-05,Virginia Foxx,(R),"124,653","265,676","394,438",31.60%,67.40%
NC-06,Kathy Manning,(D),"257,257","155,401","417,805",61.60%,37.20%
NC-07,David Rouzer,(R),"187,839","267,880","461,296",40.70%,58.10%
NC-08,Richard Hudson,(R),"177,877","202,789","385,986",46.10%,52.50%
NC-09,Dan Bishop,(R),"187,002","219,264","410,978",45.50%,53.40%
NC-10,Patrick McHenry,(R),"131,228","284,457","420,394",31.20%,67.70%
NC-11,Madison Cawthorn,(R),"196,934","251,903","454,792",43.30%,55.40%
NC-12,Alma Adams,(D),"308,124","125,328","439,717",70.10%,28.50%
NC-13,Ted Budd,(R),"126,861","267,639","399,010",31.80%,67.10%
ND-AL,Kelly Armstrong,(R),"114,902","235,595","359,890",31.90%,65.50%
NE-01,Mike Flood,(R),"132,261","180,290","320,046",41.30%,56.30%
NE-02,Don Bacon,(R),"176,468","154,377","337,754",52.20%,45.70%
NE-03,Adrian Smith,(R),"65,854","222,179","293,912",22.40%,75.60%
NH-01,Chris Pappas,(D),"213,662","188,999","409,239",52.20%,46.20%
NH-02,Annie Kuster,(D),"211,275","176,661","394,594",53.50%,44.80%
NJ-01,Donald Norcross,(D),"242,214","142,822","390,213",62.10%,36.60%
NJ-02,Jeff Van Drew,(R),"183,250","194,366","382,685",47.90%,50.80%
NJ-03,Andy Kim,(D),"217,222","218,016","441,362",49.20%,49.40%
NJ-04,Chris Smith,(R),"191,273","236,896","433,563",44.10%,54.60%
NJ-05,Josh Gottheimer,(D),"224,937","202,419","433,296",51.90%,46.70%
NJ-06,Frank Pallone,(D),"191,464","138,919","334,578",57.20%,41.50%
NJ-07,Tom Malinowski,(D),"239,105","195,248","441,160",54.20%,44.30%
NJ-08,Albio Sires,(D),"182,963","69,207","254,802",71.80%,27.20%
NJ-09,Bill Pascrell,(D),"200,019","118,376","321,623",62.20%,36.80%
NJ-10,Donald Payne,(D),"254,725","45,311","302,548",84.20%,15.00%
NJ-11,Mikie Sherrill,(D),"237,986","208,017","451,995",52.70%,46.00%
NJ-12,Bonnie Watson Coleman,(D),"243,177","113,677","361,527",67.30%,31.40%
NM-01,Melanie Stansbury,(D),"197,294","122,685","327,717",60.20%,37.40%
NM-02,Yvette Herrell,(R),"116,535","148,608","270,577",43.10%,54.90%
NM-03,Teresa Leger Fernandez,(D),"187,785","130,600","325,671",57.70%,40.10%
NV-01,Dina Titus,(D),"143,424","84,976","233,349",61.50%,36.40%
NV-02,Mark Amodei,(R),"171,024","210,255","392,617",43.60%,53.60%
NV-03,Susie Lee,(D),"214,181","213,302","435,797",49.10%,48.90%
NV-04,Steven Horsford,(D),"174,857","161,358","343,613",50.90%,47.00%
NY-01,Lee Zeldin,(R),"182,793","198,826","386,329",47.30%,51.50%
NY-02,Andrew Garbarino,(R),"168,779","183,204","356,124",47.40%,51.40%
NY-03,Tom Suozzi,(D),"216,247","175,089","395,436",54.70%,44.30%
NY-04,Kathleen Rice,(D),"211,700","165,073","380,697",55.60%,43.40%
NY-05,Gregory Meeks,(D),"229,459","44,495","275,508",83.30%,16.20%
NY-06,Grace Meng,(D),"152,725","92,371","247,255",61.80%,37.40%
NY-07,Nydia Velázquez,(D),"190,811","40,366","233,221",81.80%,17.30%
NY-08,Hakeem Jeffries,(D),"234,960","46,711","283,554",82.90%,16.50%
NY-09,Yvette Clarke,(D),"232,347","50,873","285,350",81.40%,17.80%
NY-10,Jerry Nadler,(D),"218,141","65,611","286,527",76.10%,22.90%
NY-11,Nicole Malliotakis,(R),"132,366","163,857","298,863",44.30%,54.80%
NY-12,Carolyn Maloney,(D),"280,012","49,337","332,820",84.10%,14.80%
NY-13,Adriano Espaillat,(D),"233,234","29,526","264,872",88.10%,11.10%
NY-14,Alexandria Ocasio-Cortez,(D),"161,973","57,174","220,982",73.30%,25.90%
NY-15,Ritchie Torres,(D),"171,328","25,855","198,198",86.40%,13.00%
NY-16,Jamaal Bowman,(D),"232,782","73,665","309,170",75.30%,23.80%
NY-17,Mondaire Jones,(D),"212,254","140,322","356,203",59.60%,39.40%
NY-18,Sean Patrick Maloney,(D),"184,181","166,448","355,716",51.80%,46.80%
NY-19,Antonio Delgado,(D),"182,965","177,569","367,482",49.80%,48.30%
NY-20,Paul Tonko,(D),"217,340","141,619","366,382",59.30%,38.70%
NY-21,Elise Stefanik,(R),"141,679","175,345","323,276",43.80%,54.20%
NY-22,Claudia Tenney,(R),"139,998","177,147","323,896",43.20%,54.70%
NY-23,Tom Reed,(R),"139,037","175,243","321,276",43.30%,54.50%
NY-24,John Katko,(R),"186,983","155,222","349,961",53.40%,44.40%
NY-25,Joe Morelle,(D),"218,504","137,342","363,605",60.10%,37.80%
NY-26,Brian Higgins,(D),"209,957","119,410","335,256",62.60%,35.60%
NY-27,Chris Jacobs,(R),"162,337","224,305","394,811",41.10%,56.80%
OH-01,Steve Chabot,(R),"185,947","198,433","390,226",47.70%,50.90%
OH-02,Brad Wenstrup,(R),"165,593","214,600","385,916",42.90%,55.60%
